All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly  Flye_consensus  pilon     Pilon_consensus  ragoo     funannotate_Assembly  GH5_Genome
# contigs (>= 0 bp)         217       217             217       217              158       125                   125       
# contigs (>= 1000 bp)      206       206             206       206              147       114                   114       
# contigs (>= 5000 bp)      139       139             138       138              87        73                    73        
# contigs (>= 10000 bp)     102       102             102       102              65        60                    60        
# contigs (>= 25000 bp)     76        76              77        77               49        49                    49        
# contigs (>= 50000 bp)     66        66              66        66               41        41                    41        
Total length (>= 0 bp)      35559655  35625818        35578884  35619093         35619093  35424749              35424749  
Total length (>= 1000 bp)   35551722  35617828        35570977  35611150         35611150  35416806              35416806  
Total length (>= 5000 bp)   35362686  35428688        35377336  35417442         35446314  35305062              35305062  
Total length (>= 10000 bp)  35101182  35166874        35120692  35160732         35287947  35215027              35215027  
Total length (>= 25000 bp)  34657449  34722939        34701640  34741743         35045606  35045606              35045606  
Total length (>= 50000 bp)  34302326  34367274        34321642  34361609         34783812  34783812              34783812  
# contigs                   217       217             217       217              158       125                   125       
Largest contig              2139654   2145390         2140269   2143491          2755985   2755985               2755985   
Total length                35559655  35625818        35578884  35619093         35619093  35424749              35424749  
GC (%)                      59.53     59.61           59.53     59.61            59.61     59.60                 59.60     
N50                         790645    792898          791153    792918           1136834   1136834               1136834   
N75                         513527    514457          513909    514464           674535    711148                711148    
L50                         14        14              14        14               11        11                    11        
L75                         27        27              27        27               23        22                    22        
# N's per 100 kbp           3.37      3.37            1.57      1.57             1.57      1.58                  1.58      
