All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    assembly  Flye_consensus  pilon     Pilon_consensus  ragoo     funannotate_Assembly  JIQ42_Genome
# contigs (>= 0 bp)         132       132             132       132              92        73                    73          
# contigs (>= 1000 bp)      121       121             121       121              81        63                    63          
# contigs (>= 5000 bp)      89        89              89        89               54        47                    47          
# contigs (>= 10000 bp)     62        62              62        62               43        42                    42          
# contigs (>= 25000 bp)     50        50              50        50               39        39                    39          
# contigs (>= 50000 bp)     43        43              43        43               36        36                    36          
Total length (>= 0 bp)      33638179  33721595        33679868  33721063         33721063  33635959              33635959    
Total length (>= 1000 bp)   33630185  33713597        33671898  33713034         33713034  33628718              33628718    
Total length (>= 5000 bp)   33525913  33609211        33570045  33611348         33632586  33578288              33578288    
Total length (>= 10000 bp)  33329665  33412935        33373675  33415119         33552965  33541605              33541605    
Total length (>= 25000 bp)  33164501  33247549        33208396  33249731         33499710  33499710              33499710    
Total length (>= 50000 bp)  32910724  32993979        32954312  32996159         33406078  33406078              33406078    
# contigs                   132       132             132       132              92        73                    73          
Largest contig              2685671   2692345         2689405   2692308          2713885   2713885               2713885     
Total length                33638179  33721595        33679868  33721063         33721063  33635959              33635959    
GC (%)                      59.50     59.47           59.51     59.48            59.48     59.48                 59.48       
N50                         856269    858568          857384    858890           1032311   1032311               1032311     
N75                         637788    639273          638504    639528           672691    687670                687670      
L50                         11        11              11        11               11        11                    11          
L75                         23        23              23        23               22        21                    21          
# N's per 100 kbp           2.68      2.37            1.70      1.70             1.70      1.70                  1.70        
